StudentID,Name,Gender,Department,AdmissionYear,CurrentSemester,Age
ST10001,Allison Hill,Male,CSE,2024,5,21
ST10002,Noah Rhodes,Male,IT,2024,2,19
ST10003,Angie Henderson,Female,CSE,2022,2,21
ST10004,Daniel Wagner,Male,MECH,2024,1,21
ST10005,Cristian Santos,Female,IT,2023,5,18
ST10006,Connie Lawrence,Male,AI_DS,2023,6,22
ST10007,Abigail Shaffer,Male,IT,2023,2,19
ST10008,Gina Moore,Female,CSE,2023,6,22
ST10009,Gabrielle Davis,Male,AI_DS,2023,2,24
ST10010,Ryan Munoz,Male,MECH,2023,6,21
ST10011,Monica Herrera,Male,CSE,2024,4,22
ST10012,Jamie Arnold,Male,IT,2022,7,22
ST10013,Lisa Hensley,Female,AI_DS,2023,3,23
ST10014,Michele Williams,Female,IT,2024,5,19
ST10015,Dylan Miller,Male,MECH,2024,4,20
ST10016,Brian Ramirez,Female,EEE,2023,4,23
ST10017,Holly Wood,Male,IT,2022,6,24
ST10018,Derek Zuniga,Female,CSE,2022,6,21
ST10019,Lisa Jackson,Female,EEE,2024,8,20
ST10020,Carla Gray,Female,IT,2022,5,24
ST10021,Margaret Hawkins DDS,Female,ECE,2022,3,25
ST10022,Patty Perez,Male,CSE,2022,3,20
ST10023,Ethan Adams,Female,MECH,2022,7,24
ST10024,Tommy Walter,Female,MECH,2023,1,19
ST10025,Matthew Foster,Female,AI_DS,2023,2,22
ST10026,Judy Baker,Female,IT,2023,1,22
ST10027,Justin Baker,Male,MECH,2022,5,21
ST10028,Stephanie Ross,Male,ECE,2022,1,23
ST10029,Zachary Hicks,Female,CSE,2022,6,22
ST10030,Anthony Rodriguez,Male,CSE,2022,2,19
ST10031,Rebecca Henderson,Female,CSE,2024,3,20
ST10032,James Ferrell,Female,MECH,2022,5,24
ST10033,Tricia Valencia,Male,MECH,2024,4,22
ST10034,Nathan Maldonado,Female,AI_DS,2024,6,25
ST10035,Debra Davidson,Female,CSE,2022,4,19
ST10036,Jeffrey Chavez,Female,CSE,2024,4,21
ST10037,Sherri Baker,Male,CSE,2024,1,21
ST10038,Cassandra Gaines,Male,CSE,2023,2,21
ST10039,Elizabeth Fowler,Female,AI_DS,2023,4,20
ST10040,Brittany Farmer,Female,IT,2023,7,21
ST10041,Paula Moreno,Male,CSE,2024,7,23
ST10042,Fred Smith,Female,EEE,2023,1,19
ST10043,Sherry Decker,Male,EEE,2024,6,19
